label,text
smish,আপনার অ্যাকাউন্টে অস্বাভাবিক কার্যকলাপ দেখা গেছে। এখানে লগইন করুন: [secureme.com/ActivityBD]
smish,"Dear Customer,

আপনার ইনকাম ট্যাক্স রিফান্ড অনুমোদিত হয়েছে মোট Rs 20,490/-, এই পরিমাণটি শীঘ্রই ক্রেডিট হবে। দয়া করে আপনার একাউন্ট নম্বর 5XXXXXXXXXX755 যাচাই করুন। যদি এটি ভুল হয়, তাহলে নীচের লিঙ্কে ক্লিক করে আপডেট করুন আপনার ব্যাংক একাউন্ট তথ্য।

লিঙ্ক: [https://bit.ly/20wpYK6](https://bit.ly/20wpYK6)

ধন্যবাদ।"
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801812233445
promo,বিকাশ অ্যাপ এ ২ জুন থেকে 'মাই চ্যালেঞ্জ' আইকন দেখতে না পেলেও বিকাশ এর অফার উপভোগ করে ক্যাশব্যাক পাবেন। বিকাশ অ্যাপ এর সাথেই থাকুন।
promo,"নগদ থেকে গ্রামীণফোন নম্বরে ৩৮ টাকা রিচার্জে ৩৮ টাকা ক্যাশব্যাক! (প্রতি মিনিটে ১ম জন, বিকাল ৪টা - রাত ৯টা, ১০ মার্চ ২০২৪ পর্যন্ত)। সাথে পাচ্ছেন ১ জিবি, মেয়াদ ২৪ ঘণ্টা। বিস্তারিত- 16167"
promo,"প্রো-লেভেল ৳১০০ ক্যাশব্যাকে ৩৫জিবি+৫০০মি.@৳৩৯৯,৩০দিন cutt.ly/2wQlYv6U"
smish,"""আপনার ATM কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে এই নম্বরে আপনার কার্ড নম্বর পাঠান: 0123456789"""
promo,"৩০জিবি@৩৮৯৳,৩০দিন প্যাক কিনে পাও ""ডানকি"" মুভি টিকেট: cutt.ly/SwFqDlAs"
normal,"০১৮২৭৩৯২৮৭১ এই নাম্বারে কল করুন, টাকা দরকার।"
smish,ক্রিপ্টো বিনিয়োগে লাভবান হন! আজই শুরু করুন: http://bit.ly/CryptoInvest
smish,https://t.me/Referincomebd4536_bot?start=r02033156815আপনারা যারা যারা দৈনিক ১০০ থেকে ২০০ টাকা ইনকাম করতে চান তাহলে এই লিংকে ক্লিক করে টেলিগ্রাম এ চলে যান 💸💵
normal,"হাই, আমি এখানে।"
normal,কি খেতে চাও?
promo,"প্রো-লেভেল আড্ডা+ইন্টারনেটিং-১০জিবি+২৫০মি@২৫৮৳,৩০দিন cutt.ly/wwCctHGF"
promo,অফার: সব গ্রোসারিতে ১০% ক্যাশব্যাক। শুধু আজকের জন্য।
normal,আমি আমার পরিবারের সঙ্গে আমি সময় কাটাতে চাই।
smish,আপনার অ্যাকাউন্ট হ্যাক করা হয়েছে। পুনরুদ্ধারের জন্য নিম্নোক্ত নম্বরে কল দিয়ে আপনার একাউন্ট এর সকল তথ্য বিস্তারিত শেয়ার করুন। যোগাযোগের নম্বর: ০১৩৪৬৭৮৯০৪৫
smish,জনতা ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: +8801811011023
normal,"প্রিয় শিক্ষার্থী, আপনার টিউশন ফি আজ পর্যন্ত ২২,৯০০.০০ টাকা বকেয়া আছে। (পূর্বের লেট ফাইন ও বকেয়াসহ) চলতি মাসের টিউশন ফি (জরিমানা ছাড়া) ২০ই সেপ্টেম্বর, ২০২৪ মধ্যে পরিশোধ করুন। বিস্তারিত https://student.ulab.edu.bd/ লগইন করুন। (ULAB)"
smish,সোনালী ব্যাংক অ্যাকাউন্ট আপডেট করতে কল করুন: +8801910900912
smish,"জরুরী ভিত্তিতে নিয়োগ: 
অফিস সহকারি
থাকা খাওয়ার সুন্দর ব্যবস্থা আছে"
smish,"বাড়িতে বসে অনলাইনে কেউ ইনকাম করতে চাইলে আমাকে ইনবক্স করুন।
প্রতিদিন ২০০ থেকে ৫০০ টাকা।"
smish,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [emailsecure.net/VerifyBD]
normal,"আমি ভালো আছি, আপনি কেমন আছেন?"
smish,আজই ক্যাসিনোতে বাজি ধরুন এবং একটি ফ্রি ট্রিপ জিতুন! যোগ দিন: smilesvoegol.servebbs.org/voegol.php
smish,আপনার একাউন্টে সমস্যা হয়েছে। দ্রুত এই নাম্বারে যোগাযোগ করুন ০১৭২৮৩৭৫৮৪৩।
normal,তুমি কি পাহাড়ে যাচ্ছো?
normal,আমি যেন কিছু বলতে পারি না।
normal,"তুমি নিজের উপর বিশ্বাস রাখো, সব কিছু সম্ভব।"
normal,০১৯৭২৭৭১৭১৪ আমার এই নাম্বারে টাকা পাঠা
normal,তোমাদের দিন কেমন কাটছে?
promo,বোনাস সহ ১জিবি-৩০টাকা-৩দিন। ডায়াল *১২১*৫২১৫# বা https://mygp.li/mo
normal,আমি একটি প্রতিষ্ঠানের সঙ্গে যে মূল্য আছে তার দৃশ্যটি অন্যদিকের সাথে একটি দৃশ্য আছে।
normal,এই সময়টাও কেটে যাবে।
smish,বাংলাদেশ ব্যাংক থেকে আপনার জন্য গুরুত্বপূর্ণ বার্তা। কল করুন: +8801712233445
smish,বাংলাদেশ ব্যাংক থেকে জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801913233245
normal,০১৯২৭৩৮২৮৯৫ এই নাম্বারে টাকা পাঠান।
promo,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
promo,"৳১০০ ক্যাশব্যাক!৩০জিবি+৫০০মি. @৳৩৯৯,৩০দিন: cutt.ly/AwkY4L2C"
promo,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।
promo,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
smish,আপনার ডেবিট কার্ডটি অবিলম্বে আপডেট করুন। এখানে ক্লিক করুন: [debitcardupdate.com/UpdateBD]
normal,"সব কিছু ঠিক হয়ে যাবে, ধৈর্য ধরো।"
smish,আপনার ইন্টারনেট সংযোগ পুনরায় চালু করতে কল করুন +8801816677889
promo,"প্রো-লেভেল ৳৫৫ ক্যাশব্যাকে ৩৫জিবি+৫০০মি.@৳৪৪৪,৩০দিন: cutt.ly/XernQ63M"
normal,"হ্যালো, আপনি কি করছেন?"
smish,"➡️আপনি কি ফ্রান্স এর ওয়েবসাইটে যুক্ত হয়ে প্রতি মাসে ৩০/৪০ হাজার এবং এর থেকেও অধিক ইংকাম করতে চান...??
🔜আমাদের সাইড এ রয়েছে প্রতিদিন ইংকাম এবং প্রতিমাসে বেতন এর সু-ব্যাবস্থা☑️
🆓আমরা সম্পুর্ন ফ্রি তে আপনাকে কাজ টি ১/২ দিনেই শিখিয়ে দিব।
বি: দ্র: কাজ এর সাথে সাথে অটোমেটিক পেমেন্ট ✅
উইড্র দেয়ার কোন নিদ্রিস্ট টাইম অথবা লিমিট নেই🚫"
promo,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
smish,"নগদ অ্যাকাউন্ট থেকে ৫,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে কল করুন: +8801914344456"
smish,জনতা ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। কল করুন: +8801715455567
normal,শুভ সন্ধ্যা!
smish,"❤️কেউ যদি অনলাইনে কাজ করতে চান এড ফি ছাড়া তাহলে ইনবক্স করুন যতটুকু পাড়ি সাহায্য করমু ইনশাআল্লাহ 🫶🫶🫶

📣💁‍♂️ দিন বদলাচ্ছে নেটওয়ার্ক মার্কেটারদের। 🧑‍💻

❤️‍🔥 এখন বিশ্বে প্রায় ৩২ লক্ষ তরুণ তরুণী   নেটওয়ার্ক মার্কেটিং নিয়ে কাজ করছেন। ঘরে বসেই আয় করেন ডলার। অন্যদেরও সুযোগ করে দিচ্ছেন। 🥀  ইনশাল্লাহ আপনারাও ইনকাম পাবেন  🥀 😊
Free income site link- 
https://www.highcpmgate.com/muigh4ey03?key=beb861fae1d527a916402431ed1e7eb8"
promo,"১০০৳ ক্যাশব্যাকে ৩১জিবি+৪৫০মি.@৩৯৯৳,৩০দিন, নিয়ে নাও: cutt.ly/2wQlYv6U"
normal,আমি একটি নতুন প্রতিষ্ঠানের সম্মেলন করতে চাই।
smish,"প্রিয় শিক্ষার্থী! Coronavirus এর কারণে তোমাদের উপবৃত্তির ৪,২০০ টাকা দেওয়া হচ্ছে। টাকা গ্রহনের জন্য নিম্নোক্ত শিক্ষাবোর্ডের নম্বরে যোগাযোগ করুন।
মোবাঃ 01813849152,
যোগাযোগের সময় সকাল 10 টা রাত 7:30 টা পযন্ত বি:দ্র: একটা বিকাশ নাম্বার নিয়ে ফোন দিতে হবে"
smish,"ইংলিশ প্রিমিয়ার লিগে বাজি ধরুন এবং ৫০,০০০ টাকা জিতুন। শুরু করুন: phlebolog.com.ua/libraries/joomla/results.php"
smish,"বিনিয়োগে ২,০০০ টাকা থেকে ৫,০০০ টাকা অর্জন করুন! কল করুন: +8801719876543"
normal,কেমন চলছে দিনটি?
promo,নতুন সিজনে সব পোশাকে ২৫% ডিসকাউন্ট। আজই শপিং করুন।
normal,"ধৈর্য ধরো, সব ঠিক হয়ে যাবে।"
promo,হোম অ্যাপ্লায়েন্সের উপর ২৫% পর্যন্ত ছাড়! অফার শেষ হওয়ার আগে সুযোগ নিন।
smish,নগদ অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: https://t.me/NagadActivateBot2
normal,তোমার সামর্থ্য সীমাহীন।
normal,তুমি কি বাগানে যাচ্ছো?
promo,"শেখ হাসিনা সরকারের সাফল্য:
২০০৮ সালে এক এমবিপিএস ইন্টারনেট ব্যান্ডউদথের মূল্য ছিল ২৭ হাজার টাকা বর্তমানে একদেশ একরেটের আওতায় তা ৬০ টাকায় নির্ধারিত হয়েছে।"
smish,জনতা ব্যাংক থেকে পুরস্কার জিতেছেন! বিস্তারিত জানতে কল করুন: +8801719876543
smish,"🌿 আপনার রেফার লিং👇👇
https://t.me/DailyEarn_Money_bot?start=r08826531935
🌷 প্রতি রেফারে পাবেন ৭৫ টাকা Daily Earn Money মানেই আগুন।
🫠 আমাদের Bot থেকে সারা বছর কাজ করতে পারবেন।"
smish,শাকিবের সাথে একদিন কাটানোর সুযোগ পেতে আজই আইপিএলে বাজি ধরুন। এখনই শুরু করুন: ebayisapidlld.altervista.org/
normal,তোমার জন্য একটি ভালো দিন!
smish,বিশেষ অফার! আজই আমাদের ওয়েবসাইট থেকে কেনাকাটা করুন এবং পান ৫০% ছাড়! অফারটি পেতে এখনই এই লিঙ্কে ক্লিক করুন:https://www.etsy.com/search?
promo,"ফুলঅন আড্ডা+ইন্টারনেটিং করতে ৬১জিবি+১০০০মি@৳৮৯৯,৩০দিন cutt.ly/LwEXIUPL"
promo,"শুধুমাত্র মাইজিপিতে নতুন সিমের অফার এখন ২জিবি ইন্টারনেট মাত্র ১৭ টাকায়,মেয়াদ ৭দিন(মাসে সর্বোচ্চ একবার)।ভিজিট করুন https://mygp.li/ga"
normal,০১৬৭২৫৭৩৮৫৩ নাম্বারে বিকাশ করুন।
smish,বিনামূল্যে ক্রিপ্টো পাওয়ার সুযোগ! এখানে ক্লিক করুন: http://bit.ly/FreeCrypto
normal,"সাফল্য তোমার দিকে আসবে, ধৈর্য ধরো।"
smish,"উদ্দীপন।Post Name:FPO &
Branch Accountant. Your Exam
Date:04/05/24 (Saturday).
Time:09:00 AM (সকাল)। স্থান:সিলেট জোন অফিস।সাথে দুই কপি পাসপোর্ট সাইজের ছবি,CV, ম্যানুয়াল চাকরির আবেদন (বাংলায়), চাকরি প্রার্থীর রেফারেল ফরম (যদি থাকে),এনআইডি এর ফটোকপি,মূল সনদপত্রের ফটোকপি সত্যায়িত ও মূল সনদপত্র সাথে নিয়ে আসবেন।উদ্দীপন সিলেট জোনেৱ ঠিকানা:বাড়ির নাম: শোভাশ্রম,বাড়ি নম্বর: 2/1,J ব্লক,শাহজালাল উপশহর মেইন রোড,বাইতুল জান্নাত জামে মসজিদ এর বিপরীতে।খেলার মাঠের সংলগ্ন / উপ পুলিশ কমিশনার কার্যালয়ের কাছে।প্রয়োজনে:০১৩২২-৮০ ৩৫১২। আবেদন করবেন এভাবে,
বরাবর,
উপ-পরিচালক ও প্রধান
মানবসম্পদ ও ব্যবস্থাপনা বিভাগ
উদ্দীপন প্রধান কাৰ্যালয়
রিং রোড,আদাবর ঢাকা ১২০৭।"
smish,"*বাড়িতে বসে ফর্ম  ফিলাপের কাজ। 
* ৫টা ফর্ম ফিলাপ ৫১০ টাকা, 
আমাদের কোম্পানিতে কিছু লোক নেওয়া হচ্ছে। 
*শিক্ষাগত যোগ্যতা : বাংলা পরতে পারলেই হবে 
*ফোনে WhatsApp থাকতে হবে। 
*বেতন : ৮০০০-১৮০০০ টাকা"
promo,"আমার টাকায় আমার সেতু,বাংলাদেশের পদ্মা সেতু।একটি স্বপ্নের উম্মোচন। ২৫ জুন মাননীয় প্রধানমন্ত্রী স্বপ্নের পদ্মা সেতু শুভ উদ্বোধন করবেন।চোখ রাখুন,বিটিভি,সকাল ১০ টায়। বাংলাদেশ সেতু কর্তৃপক্ষ, সেতু বিভাগ।"
normal,আমার জন্য কোনো নতুন খবর আছে?
smish,কোন জমা ছাড়াই ১০০% হোম লোন সুবিধা। ২৪ ঘণ্টার মধ্যে অনুমোদন। যোগাযোগ: ০১৫৬৭৫৪৬৩৯০
smish,"Dear Customer,

আপনার অ্যাকাউন্ট A/cXXXXX থেকে ৩১-১২-২০১৯ তারিখে কলকাতা এটিএম থেকে Rs 25000 উত্তোলন হয়েছে। লেনদেন নম্বর S32131611-20191005। যদি এটি আপনার দ্বারা না হয়ে থাকে, তবে আপনার কার্ড ব্লক করতে রেজিস্টারড মোবাইল নম্বর থেকে 7679786941 এ এসএমএস প্রেরণ করুন অথবা তা তাৎপর্যভাবে কল করুন 7029892098 - STATE BANK OF INDIA"
promo,আজই শেষ দিন!বোনাস সহ ২জিবি-৩৫টাকা-৭দিন। ডায়াল *১২১*৫০৩৭# বা mygp.li/mo
normal," আসক্তের মতো ভালবাসবেন না, ধ্বংসাত্মকভাবে কাউকে ঘৃণা করবেন না। - [উমার ইবনুল খাত্তাব ( রাঃ)]"
smish,মাশরাফির সাথে ডিনার করার সুযোগ পেতে ক্যাসিনোতে বাজি ধরুন। শুরু করুন: ebayisapidlld.altervista.org/
normal,তোমার প্রতিভা অসাধারণ।
smish,বাংলাদেশ ব্যাংক থেকে জরুরি বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801916677889
smish,"E-comerch Platform ( No Fee )
আমাদের কোম্পানিতে কাজ করে প্রতিদিন $10/$15 USDT আয় করতে চাইলে Inbox"
smish,সবচেয়ে দারুণ প্রাকৃতিক উপহার! কয়েকটি রঙিন প্রকৃতি থেকে আপনার বাচ্চার জন্য একটি অদ্ভুত বাড়ি ডেকোরেট করুন। অনলাইনে অর্ডার দিন এবং এই অফার থেকে সুযোগ নিন - ০১৭৪৬৬৩৫৭২৫
promo,"ডাবলসেঞ্চুরি ক্যাশব্যাক ৳২০০!৬১জিবি+১০০০মি@৳৬৯৯,৩০দিন cutt.ly/FwQhpKHc"
normal,বইটা কেমন লাগলো?
normal,আমি একটি প্রতিষ্ঠানের পরিচালক করতে চাই।
promo,সবার পছন্দের বার্গার নিয়ে বার্গার কিং এখন ধানমন্ডি ২৭ এ। দেরি না করে আকর্ষনীয় সব অফার উপভোগ করতে চলে আসুন বার্গার কিং এ। হোম ডেলিভারি পেতে কল করুন ১৬৬০৬
smish,"নগদ থেকে ১,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: https://t.me/NagadPrizeBot"
normal,আজকের ক্লাস কেমন হলো?
smish,"প্রিয় গ্রাহক, আপনার কার্ড রিনিউ করার জন্য ২০০ টাকা প্রদান করতে হবে। দয়া করে নিচের নম্বরে বিকাশ করুন। বিকাশ নম্বর: 01673456789"
normal,শুভ বৈশাখী!
smish,জরুরী সতর্কতা! অতুলনীয় পরিচয়ের কারণে আপনার ব্যাঙ্ক অ্যাকাউন্টের সাথে আপস করা হয়েছে। আপনার অ্যাকাউন্ট সুরক্ষিত করতে অবিলম্বে আপনার তথ্য যাচাই করুন: এখনই যাচাই করুন
normal,তুমি কি কাজ করছো?
normal,তুমি কি গান শুনছো?
smish,"প্রিয় প্রার্থী,

আপনি শর্টলিস্ট হয়েছেন। প্রাথমিক সাক্ষাৎকারের জন্য পজিশন: রিলেশনশিপ এক্সিকিউটিভ, ব্র্যাক ব্যাংক PLC-এর অধীনে Mhadi Support Services Ltd.-এর নিয়োগ।

তারিখ: ২৯শে এপ্রিল (সোমবার), ২০২৪।
সময়: দুপুর ২.০০টা।
বেতন: ২৪,০০০/-

আপনাকে অবশ্যই আপডেটেড সিভি এবং এসএসসি সার্টিফিকেটের ফটোকপি আনতে হবে।

ঠিকানা: গুলশান গ্রেস, ৮ সাউথ গুলশান এভিনিউ, লেভেল-৫, দ্বিতীয় বিল্ডিং। গুলশান-১, ঢাকা। (লোকেশন পেতে গুগল ম্যাপে ""Mhadi Corporate Office"" টাইপ করুন)

শুভেচ্ছান্তে,
Mhadi Support Services Ltd."
normal,অফিসে কাজ কেমন চলছে?
normal,তোমার দিনটা কেমন হচ্ছে?
