id,sender,body,timestamp,language,is_otp,otp_intent,share_advice
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_48,Rey manohar,Rey manohar,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_49,"Dear Customer, +918639417540 is now available to take calls.","Dear Customer, +918639417540 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_50,"Dear Customer, You have 3 missed calls from +918639417540 The last missed call was at 06:14 PM JZ 33-SXH-0112 Thankyou, Team Jio.","Dear Customer, You have 3 missed calls from +918639417540 The last missed call was at 06:14 PM JJ 26-HJA-7015 Thankyou, Team Jio.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_51,"Kindly forword your document on
uniqueemploymentltd@hotmail.com
Document:
1.Photo
2.marksheet
3.ID  
4.cv ","Kindly forword your document on
uniqueemploymentltd@hotmail.com
Document:
1.Photo
2.marksheet
3.ID  
4.cv ",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_52,Reached hostel bye...tc,Reached hostel bye...tc,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_53,I'm on my way ,I'm on my way ,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_54,Akka nenu Tinku entlo ne unava ,Akka nenu Tinku entlo ne unava ,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_55,👍,👍,,unknown,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_56,"PNR:3924825835,TRAIN:12791,DOJ:29-01-18,3A,KZJ-DNR,Dep:12:02,
VINAY+1,B3 13,B3 14,
Fare:4380,SC:0.0+PG+INS
","PNR:7731533121,TRAIN:12791,DOJ:29-01-18,3A,KZJ-DNR,Dep:12:02,
VINAY+1,B3 13,B3 14,
Fare:4380,SC:0.0+PG+INS
",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_57,Class EE lo,Class EE lo,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_58,Enko 10 min lo me plaza mundu unta,Enko 10 min lo me plaza mundu unta,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_59,"Dear Customer, +918919750261 is now available to take calls.","Dear Customer, +918919750261 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_60,"Dear Customer, +918919750261 is now available to take calls.","Dear Customer, +918919750261 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_61,"Dear Customer, +918919750261 is now available to take calls.","Dear Customer, +918919750261 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_62,Chicken and saman,Chicken and saman,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_63,Dabbulu Lev mere tesukurandi,Dabbulu Lev mere tesukurandi,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_64,449 ki 84 days,449 ki 84 days,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_65,Repat nunchi 399 ki only 70 days,Repat nunchi 399 ki only 70 days,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_66,Recharge chesuko,Recharge chesuko,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_67,sare,sare,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_68,Malla kanuko Ra tondaraga chey manu,Malla kanuko Ra tondaraga chey manu,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_69,10 min lo,10 min lo,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_70,annadu,annadu,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_71,chesthaa,chesthaa,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_72,Reply,Reply,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_73,Reply,Reply,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_74,Reply,Reply,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_75,Me dostu,Me dostu,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_76, Em annadu vya, Em annadu vya,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_77,"Dear Customer, +918919750261 is now available to take calls.","Dear Customer, +918919750261 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_78,naa dagare unnayi,naa dagare unnayi,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_79,Certificate s,Certificate s,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_80,Arey Evadiki echav ra,Arey Evadiki echav ra,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_81,saree,saree,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_82,class ipole,class ipole,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_83,3700+500 anta,3700+500 anta,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_84, 4000 e kadha vyaa, 4000 e kadha vyaa,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_85,Rent echeyali,Rent echeyali,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_86,Arey 4200 tesukoni ra,Arey 4200 tesukoni ra,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_87,Telvad Ra tiyaledhu anukunta,Telvad Ra tiyaledhu anukunta,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_88,??? ,??? ,,unknown,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_89,chakri gaadu tckt thsndaa,chakri gaadu tckt thsndaa,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_90,ndhi,ndhi,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_91,Memu class ipoyaka direct velipotham cinepolis,Memu class ipoyaka direct velipotham cinepolis,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_92,✌️👍,✌️👍,,unknown,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_93,😢😢😢,😢😢😢,,unknown,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_94,Sare sare,Sare sare,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_95,nkaa change kaaledhu kadha raa,nkaa change kaaledhu kadha raa,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_96,naadhi ar215 ,naadhi ar215 ,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_97,"Dear Customer, +918919967393 is now available to take calls.","Dear Customer, +918919967393 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_98,"Just invited you to Hike and sent you Rs. 07. Join in 24 hours and get more - upto Rs. 0,88,835 for free in your Wallet. Download Now http://go-hike.in/a/_TITlyQw","Just invited you to Hike and sent you Rs. 53. Join in 24 hours and get more - upto Rs. 4,04,041 for free in your Wallet. Download Now http://go-hike.in/a/_TITlyQw",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_99,"Just invited you to Hike and sent you Rs. 26. Join in 24 hours and get more - upto Rs. 3,23,626 for free in your Wallet. Download Now http://go-hike.in/a/Kd89r9AT","Just invited you to Hike and sent you Rs. 32. Join in 24 hours and get more - upto Rs. 9,75,727 for free in your Wallet. Download Now http://go-hike.in/a/Kd89r9AT",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_100,"Dear Customer, +919110561588 is now available to take calls.","Dear Customer, +919110561588 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_101,"Dear Customer, +919110561588 is now available to take calls.","Dear Customer, +919110561588 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_102,"Dear Customer, You have 2 missed calls from +919110561588 The last missed call was at 02:57 PM HK 89-GIJ-1302 Thankyou, Team Jio.","Dear Customer, You have 2 missed calls from +919110561588 The last missed call was at 02:57 PM QI 96-NKZ-0395 Thankyou, Team Jio.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_103,"Dear Customer, +919110561588 is now available to take calls.","Dear Customer, +919110561588 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_104,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/1j7dTqmO,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/1j7dTqmO,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_105,Call me once done,Call me once done,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_106,Just invited you to Hike. Make your first payment and we both get Rs. 38. Download Now http://go-hike.in/a/yYU9DVAz,Just invited you to Hike. Make your first payment and we both get Rs. 87. Download Now http://go-hike.in/a/yYU9DVAz,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_107,Just invited you to Hike. Join in 24 hours and get Rs. 95 for free in your Wallet. I will get Rs. 94 too. Download Now http://go-hike.in/a/yYU9DVAz,Just invited you to Hike. Join in 24 hours and get Rs. 54 for free in your Wallet. I will get Rs. 34 too. Download Now http://go-hike.in/a/yYU9DVAz,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_108,Arey lift chei Ra nen Akhil ,Arey lift chei Ra nen Akhil ,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_109,"Dear Customer, +919182755860 is now available to take calls.","Dear Customer, +919182755860 is now available to take calls.",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_110,TRL WHA ICIWC14941B14ED796FA5BCAD07F30D9C44,TRL WHA ICIWC14941B14ED796FA5BCAD07F30D9C44,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_111,I'm busy at the moment. Please text me.,I'm busy at the moment. Please text me.,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_112,"Y0U ARE SELECTED T0 GET 4.32 CR0RE FR0M F0RD M0T0RS PR0M0TI0N 2017, T0 RECEIVE SEND Y0UR NAME,AGE,ADDRESS,M0BILE N0 0CCUP,T0: ford.uk7@gmail.com","Y0U ARE SELECTED T0 GET 4.32 CR0RE FR0M F0RD M0T0RS PR0M0TI0N 2017, T0 RECEIVE SEND Y0UR NAME,AGE,ADDRESS,M0BILE N0 0CCUP,T0: ford.uk7@gmail.com",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_113,Just invited you to Hike. Join in 24 hours and get Rs. 73 for free in your Wallet. I will get Rs. 21 too. Download Now http://go-hike.in/a/1IjDjhpy,Just invited you to Hike. Join in 24 hours and get Rs. 95 for free in your Wallet. I will get Rs. 45 too. Download Now http://go-hike.in/a/1IjDjhpy,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_114,"Attend Free Demo on HADOOP (Big Data), Saturday (04.11.17) @ 10:00 AM & New WEEKEND Batch Starts on HADOOP, Saturday @ 11:30 AM. KELLY TECHNOLOGIES. 8842545666","Attend Free Demo on HADOOP (Big Data), Saturday (04.11.17) @ 10:00 AM & New WEEKEND Batch Starts on HADOOP, Saturday @ 11:30 AM. KELLY TECHNOLOGIES. 3384710948",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_115,"Attend Free Demo on SPARK & SCALA, Tomorrow (05.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 8041883027","Attend Free Demo on SPARK & SCALA, Tomorrow (05.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 6534033783",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_116,"Attend Free Demo on SPARK & SCALA, Tomorrow (05.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 3385417653","Attend Free Demo on SPARK & SCALA, Tomorrow (05.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 7024670621",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_117,"Attend Free Demo on HADOOP (Big Data), Saturday (04.11.17) @ 10:00 AM & New WEEKEND Batch Starts on HADOOP, Saturday @ 11:30 AM. KELLY TECHNOLOGIES. 7995242344","Attend Free Demo on HADOOP (Big Data), Saturday (04.11.17) @ 10:00 AM & New WEEKEND Batch Starts on HADOOP, Saturday @ 11:30 AM. KELLY TECHNOLOGIES. 3381233592",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_118,"Attend New Weekend Batch Starts on SPARK & SCALA, Tomorrow (23.12.17) @ 10:30 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya TradeCenter. 8180412480","Attend New Weekend Batch Starts on SPARK & SCALA, Tomorrow (23.12.17) @ 10:30 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya TradeCenter. 9171800365",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_119,"Attend New Batch Starts on SPARK & SCALA, Tomorrow (16.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 9110162385","Attend New Batch Starts on SPARK & SCALA, Tomorrow (16.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 8378980327",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_120,"Attend Free Demo on SPARK & SCALA, Tomorrow (05.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 2919852661","Attend Free Demo on SPARK & SCALA, Tomorrow (05.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 9722977423",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_121,"Attend New Batch Starts on SPARK & SCALA, Tomorrow (16.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 1188978590","Attend New Batch Starts on SPARK & SCALA, Tomorrow (16.11.17) @ 10:00 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya Trade Center. 3858124714",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_122,"Attend New Weekend Batch Starts on SPARK & SCALA, Tomorrow (23.12.17) @ 10:30 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya TradeCenter. 8331256025","Attend New Weekend Batch Starts on SPARK & SCALA, Tomorrow (23.12.17) @ 10:30 AM. KELLY TECHNOLOGIES, #101, Swathi Anukar, Beside Aditya TradeCenter. 5790826741",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_123,"1407007
1407028
1407029
1407041
1406035","1407007
1407028
1407029
1407041
1406035",,unknown,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_124,Cab +918341770211,Cab +918341770211,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_125,Arun Dazzling (891 975 0261),Arun Dazzling (891 975 0261),,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_126,"Pirbahore Thane
Opp Subzi Mandi, Ashok Raj Path Rd, Patna, Bihar 800004","Pirbahore Thane
Opp Subzi Mandi, Ashok Raj Path Rd, Patna, Bihar 800004",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_127,"I've tagged you as a Bro, Buddy or Bae on Hike. Guess which one, tag me back and get a gift if we match up! - http://hike.in","I've tagged you as a Bro, Buddy or Bae on Hike. Guess which one, tag me back and get a gift if we match up! - http://hike.in",,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_128,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/a5kv3I2I,Just sent you some money and invited you to Hike. Join now and add to your Wallet for free - http://go-hike.in/a/a5kv3I2I,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_129,TRL WHA ICIWC14941B14ED796FA5BCAD07F30D9C44,TRL WHA ICIWC14941B14ED796FA5BCAD07F30D9C44,,en,,,
shshnk158 Multilingual-SMS-spam-detection-using-RNN revisedindiandataset_row_130,"Dear candidate please forward your high qualification document and addres prof id prof and two passport size photo.hr whatsapp -9236340469 ,And mail-hr.airlinerecruiters95@India.com","Dear candidate please forward your high qualification document and addres prof id prof and two passport size photo.hr whatsapp -3456578971 ,And mail-hr.airlinerecruiters79@India.com",,en,,,
