original_index,sms_text,predicted_is_otp,predicted_otp_intent,is_phishing
49878,"২০০ টাকা বিনামূল্যে বোনাস!
৫০০০টাকা জেতার সুযোগ।
https://cutt.ly/JiliG",False,NOT_OTP,True
45079,500 activate com conditions free message messages replying terms text visit word www,False,NOT_OTP,True
1691,"Dear Customer,
Thanks for choosing Licious. Your order la2hfcmmvwtd is scheduled for 2025-09-02 between 7 PM - 9 PM. -Licious",False,NOT_OTP,False
48810,"Ads dekhe daily 200-300 tk income korte chaile join korun https://adswork-bd.com/register?ref=140639 
100% trusted site Free te kaj korte paben",False,NOT_OTP,True
43960,alright cheers coming gonna hows money oh ok school thursday work yay yeah,False,NOT_OTP,False
49872,আপনার অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ হয়েছে। লগইন করে যাচাই করুন: [secureverify.com/VerifyBD],False,NOT_OTP,True
41015,dream fantasy football opt play saturday sky starts team tv,False,NOT_OTP,True
67776,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,False,NOT_OTP,True
38942,ah hey told,False,NOT_OTP,False
52751,मुफ़्त वर्कशॉप दस्तावेज़ के साथ विदेश में काम करें। आज ही कॉल करें।,False,NOT_OTP,True
52059,आपके आने का इंतजार है।,False,NOT_OTP,False
54031,"54999 पर एमएस आईटी भेजें और नोएडा एक्सटेंशन में अपना सपनों का घर केवल 13.99 लाख रुपये में प्राप्त करें, जिसमें नोएडा एक्सटेंशन में संस्कृति 2/3 बीएचके प्रीमियम फ्लैट शामिल है।",False,NOT_OTP,True
39656,did say umma,False,NOT_OTP,False
45387,000 10 150 150ppm 18 434 await box cash collection complimentary cs holiday ibiza landline po ppm sae urgent,False,NOT_OTP,True
40120,2day calls day fancy fri hi hotel leave msg pls,False,NOT_OTP,True
39571,dont ok talk word,False,NOT_OTP,False
45410,200 88039 age16 awarded break city number shopping skilgme spree store summer txt ur win wk,False,NOT_OTP,True
49988,"ফ্রি ইনকাম ।কাজ করতে চাইলে লিংক ক্লিক করে  একাউন্ট করেন ।

https://online-earn.beauty/371606448961",False,NOT_OTP,True
45497,0870 08707509020 1327 20p 5wb box cr9 croydon fantasies hot just live min national ntt po rate,False,NOT_OTP,True
45671,00 08000930705 100 300 3510i bank buy camcorder colour com free issues minutes mobile new nokia phone pick reply strong texts want,False,NOT_OTP,True
64123,yes,False,NOT_OTP,False
44682,08712460324 10p 60p chat cheap cheaper fantasies gay hot just like min national rate sale stop tell texts,False,NOT_OTP,True
45629,08718727870 150p 1st club free msg polys reply ringtone send sms stop sub subs tone txt week weekly,False,NOT_OTP,True
50719,पारी की हार इंग्लैंड से खेलते हुए श्रीलंका को कितनी बार पारी की हार का सामना करना पड़ा है? 1) दो 2) तीन 3) चार ^1/2/3 वीडियो प्राप्त करने के लिए 24 घंटे के भीतर उत्तर दें।,False,NOT_OTP,True
46896,500 86688 answer bonus com easy hmv info just play pounds questions real send special vouchers won www,False,NOT_OTP,True
46021,100 500 87066 awarded cd com1win150ppmx3age16 congratulations draw entry free gift guaranteed ldew music tncs txt ur vouchers weekly wkly www xmas,False,NOT_OTP,True
47778,08712460324 60p fantasies girls just like min rate send stop tell texts,False,NOT_OTP,True
47408,04 06 11 2003 26 800 account code expires identifier points private redeemed shows statement,False,NOT_OTP,True
45412,200 88039 age16 awarded break city shopping skilgme spree store summer txt ur win wk,False,NOT_OTP,True
46463,charge current ends free handset mobile offer tel today,False,NOT_OTP,True
9280,"ICICI SECURITIES LIMITED on 27-07-24 reported your Fund bal Rs.4 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",False,NOT_OTP,False
44403,08718720201 150p 2lands 500 86688 balance cash cc currently hg hmv maximize msg pounds quiz row send suite342 ur w1j6hl,False,NOT_OTP,True
50396,আপনার সঞ্চয় দ্বিগুণ করুন! এখনই কল করুন: +8801919876543,False,NOT_OTP,True
53096,आपके PAN में समस्या है। अपडेट करें: https://panfix.co/xKL98J7N -PANSuppor,False,NOT_OTP,True
44101,latest news police station,False,NOT_OTP,True
43375,1st arcade free game games key o2 post press reply save settings ur,False,NOT_OTP,True
44992,000 10 150ppm 18 434 await box cash collection complimentary cs holiday ibiza landline po sae tenerife urgent,False,NOT_OTP,True
545,"Dear Customer, your payment of INR 261.81 for WixComIndiaPrivateLimited to be debited from your ICICI Bank Credit Card 6053, as per Standing Instructions XWya6GSkpp, is due by 15/10/2025. To cancel this debit or your Standing Instructions, visit https://icici.co/ICICIT/Ku63G1 >Cards>Credit Cards>Standing Instructions and Recurring Charges>Manage Standing Instructions.",False,NOT_OTP,True
40117,150p 40gb 500 83355 collect guaranteed ipod mp3 nokia phone player prize tc txt word,False,NOT_OTP,True
39711,100 cash chance does flower quiz tv txt win,False,NOT_OTP,True
59010,"Dear SBI UPI User, your account is debited INR 190.3 on Date 2018-02-09 05:04:10 PM by UPI Ref No 804017730378.Download YONO @ www.yonosbi.com",False,NOT_OTP,False
47220,08002986906 11mths camera colour december entitled free latest mobile update,False,NOT_OTP,True
53877,मुफ्त डाटा पाने के लिए इस लिंक पर क्लिक करें।,False,NOT_OTP,True
47281,200 88039 age16 awarded break city shopping skilgme spree store summer txt ur win wk,False,NOT_OTP,True
44352,com content dear free games great mobile pix poly ringtones true uk www,False,NOT_OTP,True
26788,"Dear Customer, your ICICI Bank Account XX525 has been credited with INR 52,994.12 on 30-Nov-22. Info:BIL*INFT*000547546187*NA*. The Available Balance is INR 09,566.97.",False,NOT_OTP,False
40431,000 0800 500 free help loan purpose refused tenants text welcome,False,NOT_OTP,True
41380,150ppm 16 5000 await award cash collection cs holiday landline sae urgent,False,NOT_OTP,True
26817,Dear Client Funds on 01/04/2023.MCX 0.Net Exchanges 0.Clear Exchanges 0.For MCX M-ID 56250-ICICI Securities Limited.UCC 0089465323.MCXLTD,False,NOT_OTP,False
45084,09050090044 50 5000 await collection cost costa del holiday max10mins pm pobox334 sae sk38xh sol stockport tc tcs toclaim ve won,False,NOT_OTP,True
42260,ans answer father gt hav iq john joy lt question tis try,False,NOT_OTP,False
47709,11mths camera cs free half latest line orange phone phones price rental update,False,NOT_OTP,True
48552,"যাদের টেলিগ্রাম আছে তাঁরা আজ থেকে অনেক টাকা ইনকাম করতে পারবেন।https://t.me/Moshiur3412_bot?start=r00372672385
দিনে ১ ঘন্টা সময় ব্যয় করে 500💵 থেকে 1000💵 টাকা ইনকাম করুন। কোন এড ছাড়াই। আপনি কল্পনা করতে পারবেন না যে বিশাল বড় সুযোগ চাচ্ছে আপনার সামনে থেকে💸😱।তাই এই সুযোগ মিস করতে না চাইলে উপরের টেলিগ্রাম লিংকে ক্লিক করুন এখুনি",False,NOT_OTP,True
46201,message new order tones week,False,NOT_OTP,True
46127,08702840625 3qxj9 9ae charge comuk credits extra goto help inclusive login net pls services sms stop text unsubscribe www,False,NOT_OTP,True
