text_combined,label,message_length
08718720201 1000 150p 83600 custcare day msg partner quiz rcvd send special trip valentines win,spam,95
babe home ta,ham,12
come cool havent,ham,16
just sleeping surfing,ham,21
later ll sorry,ham,14
calling hand phone right,ham,24
great lot ok thanx,ham,18
1000s come end happy hello post reading texts wiv,ham,49
,ham,0
interested like,ham,15
round sister yesterday,ham,22
going practice tc,ham,17
case dis havent jus mail num saw sent ur yijue,ham,46
problem small,ham,13
50 com cost fancy interested msg tncs txt txts website,spam,54
checking great just miss month really seeing,ham,44
help nah ve,ham,11
car going half hour,ham,19
angry basically bcoz day fault good hurt just plz sorry today ur urself,ham,71
figure guys jay need spend trying weed yo,ham,41
ago gt ish lt minutes wtf,ham,25
allah calling ex fine forgot happy insurance joined meet met person qatar rakhesh say thank,ham,91
100 500 87066 awarded cd com1win150ppmx3age16 congratulations draw entry free guaranteed ldew music tncs txt ur vouchers wkly www,spam,129
150p 2lands 500 86688 balance cash cc currently hg maximize msg pounds row send suite342 ur w1j6hl,spam,98
day evening late moment saturday sleep work,ham,43
boy cold got hello just long posted st way,ham,42
chikku cool ha,ham,14
oh ok prob,ham,10
check right,ham,11
busy finally finish forward looking meeting new trying year,ham,59
afternoon air day good happy love smile sunshine think,ham,54
care know worries,ham,17
08000839402 1000 bluetooth call2optout double free latest mins mobileupd8 motorola nokia offer orange sonyericsson txt xmas,spam,123
code customer discount messages reply services stop uk www,spam,58
wat,ham,3
cool ready text,ham,15
bed boytoy geeee hello just love miss wish woke,ham,47
bed,ham,3
bath going gt lt min msg,ham,24
buy pay people pls price really sure talking tell want willing,ham,62
anytime calling charged customer order reference ringtone services thanks unsubscribe week,spam,90
happen say,ham,10
did face seen,ham,13
blue going happening lot new sighs things years,ham,47
brings,ham,6
called dont like mistake pa project sir sms today told,ham,54
body guess guide just know ll quite reason relax said shouldn slow sure ve way worried worry,ham,92
couple minutes sure track yeah,ham,30
big care deal hey leave,ham,23
ah hey late meet,ham,16
08000839402 available bluetooth call2optout double free mins mobileupd8 motorola nokia orange phones sony txts,spam,110
mr took,ham,7
customer place,ham,14
dont fun like mm time,ham,21
11mths camera free half latest line orange phone phones price rental update,spam,75
eat having lunch yup,ham,20
dinner fr huh late,ham,18
going hey intro pilates sat,ham,27
morning ok,ham,10
days didnt office room thats think yes,ham,38
bout going pick time,ham,20
award current month,ham,19
actually gr8 rock send sis sleeping text wake wen,ham,49
ass facebook feel hurt make met open people pictures putting room think ve,ham,74
al allah evening fine god good got happy hope india joined meet news offer rakhesh sir,ham,86
change da hmmm network wanna want,ham,33
16 1st 87131 free help poly ringtone stop text tone tones true txt,spam,66
dear did talk,ham,13
cream hair,ham,10
happening til,ham,13
great gt hour lt starts xmas yep,ham,32
driving haha know lot man used usf,ham,34
class coffee day good hope late ok place pm stay time tomorrow,ham,62
drink fancy good hello later week,ham,33
,ham,0
com date fullonsms lot message missing number sent text thats,ham,61
come plan point room weekend,ham,28
cos thing want,ham,14
ard cine den jiu ll mrt oso yan,ham,31
bring home,ham,10
100 cal dating service,spam,22
dont sleep want,ham,15
alright new,ham,11
18 250 competition entry free just text uk weekly win word www,spam,62
alright head ll meet minutes text,ham,33
150p 87077 eve heart joined logo love lover pobox36504w45wq send txt ur yahoo,spam,77
live taking week yes,ham,20
contacted dating entered fancy landline phone service,spam,53
aha hostel,ham,10
12hrs 2000 3030 awarded claim guaranteed land line mobile number prize urgent valid,spam,83
childish friends funny gt lovable lt naughty receive reply romantic send ur voice,ham,81
guess ll ok,ham,11
aathi dear,ham,10
pain thing,ham,10
car cos esplanade giving got lift mind today,ham,44
amt buy car dis gt hv lacs lt prob thats urgent vry wnt,ham,55
home lor tv watching,ham,20
does fucking minutes question respond usually yes,ham,49
150ppm 16 3mins ave calls camera close congrats cost ldn mobiles nokia phone post vary video wc1n3xx,spam,100
booked pongal ticket,ham,20
amp available gt like lt right th,ham,33
askin dollars gt lt message pay sent,ham,36
ask like story times told ve,ham,28
does fucking long,ham,17
50 gd hi hope journey late mins think txt,ham,41
arrange like love,ham,17
best great kallis really told tough world yes,ham,45
gt supposed wake,ham,16
din group liao saw tot,ham,22
later ll sorry,ham,14
gorgeous hey say,ham,16
battery come died getting place sorry,ham,37
hmm kinda remember wot yeah,ham,27
dear know mind wont,ham,19
lol new plans years,ham,19
10 later min,ham,12
,ham,0
day good hope thanks today,ham,26
acc want,ham,8
month ok stay tell things tough yeah,ham,36
000 0800 500 free help loan purpose refused tenants text welcome,spam,64
ill make si think,ham,17
beautiful don intelligent know like look lot ure woman worry,ham,60
asking best hope intelligent kind open result start ttyl,ham,56
20 bad cost guess isnt love miss need want ya,ham,45
believe different feeling going time,ham,36
did die gonna phone stay,ham,24
better day gives god great reasons thank,ham,40
apply available camera claim customer ends free loyalty offer opt orange phone,spam,78
bye later ll ok sorry,ham,21
ok way,ham,6
enjoy giving great gt love lt making night princess receiving style times,ham,73
don getting stuff,ham,17
going ride,ham,10
jus ll need rain stop wait yup,ham,30
company tell,ham,12
150ppm 5000 award cash collect cw25wx dear final holiday landline notice sae tcs tenerife,spam,89
long princess,ham,13
account bank charges cos details dollars flat got gt lt meant money person rate remove sending sure trust,ham,105
150p direct dogging ec2a join laid largest locations moan mob msg network real sent tonight txting uk ur want,spam,109
cum don good heart line ll nice plz said times trust,ham,52
gonna head like minutes ok usf,ham,30
aathi lot love,ham,14
ah problem,ham,10
8th pick,ham,8
getting guys said staying thinking,ham,34
sec,ham,3
asking carlos friends weekend working yo,ham,40
lor tv watching,ham,15
baby real thank thing wait,ham,26
change fb,ham,9
long really time win,ham,20
500 activate com conditions free message messages replying terms text visit word www,spam,84
dear happen reached,ham,19
depends maybe quality sent type want,ham,36
fixed message send test think ve,ham,32
account buy card credit dry half man shit sorry want,ham,52
150pm 5we bx420 cinema congrats dont free ip4 miss pass special year,spam,68
later ll meeting sorry,ham,22
class gt lt,ham,11
free,ham,4
got meh,ham,7
late monday nope replied sorry think,ham,36
confirm told true,ham,17
center kate right,ham,17
dear room,ham,9
bt close easy fighting lose some1 win world,ham,43
come,ham,4
check,ham,5
water went,ham,10
150ppm 18 claim competition congratulations cs draw just prize sms stop week won,spam,80
bored car cos dat got home outside stuff tv wait waiting wat watch,ham,66
house maybe near park place village,ham,35
bringing friend help know like money need pay rent school stuff thats ve,ham,72
,ham,0
character jada kusruthi lovable matured opinion pls reply silent simple spl stylish,ham,83
latest new try want,ham,19
frm heart prabha realy,ham,22
lol ok,ham,6
change jst tat,ham,14
150p 40gb 500 83355 collect guaranteed ipod latest mp3 mtmsgrcvd18 nokia phone player prize txt word,spam,100
competition,ham,11
150p cha come poly reply slow stop tones txt yeah,spam,49
com credits http pin www,spam,24
ask bday feel free fri join know need night sat want way,ham,56
children just ll person usually,ham,31
,ham,0
come shall,ham,10
gonna,ham,5
campus rude,ham,11
000 02 03 2nd attempt awarded bonus caller contact mobile prize urgent,spam,70
ard christmas enjoy hi mas merry won,ham,36
00 150 16 85023 claim cs discount member mobile offer offers reply savamob sub text today unsub ur vouchers worth yes,spam,117
lady like pretty single yes,ham,27
750 conditions pg terms tone,spam,28
double jay says,ham,15
04 11 18 2003 800 account code expires identifier points private redeemed shows statement,spam,89
holiday sunday today work,ham,25
going practice tc,ham,17
late ll,ham,7
big called day especially great guys hoping know l8r love malaria miss pls ve,ham,77
afternoon boytoy day goes good got hope job kiss love maybe passionate sea send think,ham,85
gonna later lt probably tonight,ham,31
doesn fat fingers just know maybe press,ham,39
birthday day dear happy heart returns sweet,ham,43
da office started,ham,17
50p age16 com month msg stop txt www,spam,36
confidence listen losing married means quote self,ham,49
college come going ill pa self,ham,30
flat just plan,ham,14
bed does doesn fun girl having id need pass stay time,ham,53
special,ham,7
come english got hotel just know need sweet,ham,43
long omw sorry took,ham,19
gt lt min wait,ham,14
btw hair minutes ok think time,ham,30
bath eat enjoy feel finally having imagine left maybe water,ham,59
days hurry like ve weed,ham,23
blood sure,ham,10
bath cup drink just know ll milk need night ok warm weight work,ham,63
book case cheap isn look,ham,24
essential like,ham,14
having lunch online,ham,19
friend know told,ham,16
hi pics pretty princess thank,ham,29
abt ah aiyo dunno ex fast gee got haven huh lucky reply time ur workin,ham,70
hi msg office,ham,13
nice thanx,ham,10
barely love stand,ham,17
1000 12hrs 150ppm claim code contact draw guaranteed prize shows trying valid weekends won,spam,90
babe crave fuck know let miss money need net send want,ham,54
2mrw address bad eh ill stop wont,ham,33
bed thinking,ham,12
anyways babe day good gym having hope just love miss ok smiles,ham,62
ass daddy going love make pleasure scream,ham,41
wanna wot,ham,9
clean finish hee home lor lunch morning mum quite room sch stay wait yar,ham,72
know lab went,ham,13
door open,ham,9
waiting,ham,7
daddy nope sch waiting,ham,22
000 cash claim prize won,spam,24
ll tired want week,ham,18
ard finish sch wait,ham,19
5000 calls claim hot line mobile number ring won,spam,48
amp bt love marriage,ham,20
dinner early having huh izzit outside,ham,37
change need ok said,ham,19
150 750 contact delivery free mins new offer phone reply tomorrow tried video,spam,77
able day ex kids want wife,ham,26
care dream hope live showing,ham,28
hour just sick tell time use want,ham,33
den dun em hmmm jazz lessons ll meet oso quit thk yogasana,ham,58
credit pete ring,ham,16
better tho ya,ham,13
later meeting,ham,13
08715705022 1x150p 250 chance com custcare shop shopping spree txt ur win wk wkly www,spam,85
16 2000 apply award close cost cs pound receive selected specially,spam,66
04 10 2003 24 800 account code expires identifier points private redeemed shows statement,spam,89
grand,ham,5
choose ends forever friend friends friendship gud lets long met world,ham,69
great,ham,5
day dear gud mrng nice,ham,22
0800 announcement customer freephone important service,spam,54
morning pie sleep train wine,ham,28
ar buy going mum present,ham,24
indian mind stopped,ham,19
home lor ok ready sending,ham,25
cash does,ham,9
come happy noon,ham,15
la lunch meet,ham,13
care soon,ham,9
28 free info ladies paris,spam,25
bored getting meant say wait,ham,28
mind neva ok,ham,12
come drink fine imma somethin want,ham,34
daily date days euro2004 kept kick latest news results send stop txt,spam,68
answers best colour dis friends game loves msg really rply send ur valentine,ham,76
,ham,0
ave care catch nice oh soon time today,ham,38
called choose future said,ham,25
1st day early finish happy know thought uncles valentines wish,ham,62
abt ask cos dat got know leh leona liao like lor shuhui telling ur,ham,66
family happiness,ham,16
aft come immediately lesson pick ur,ham,35
brings kind let ppl snow weather,ham,32
dear dollars got gt hi lt,ham,25
good leave times words,ham,22
alex birthday far knows make minutes sure,ham,41
got later pub sorry things,ham,26
actually bring bud cash drinks just little nah straight,ham,55
8th good haha hear paid,ham,23
center does,ham,11
ask cut darren face longer look make said short thk yup,ham,55
25p area chat com free guys horny just new receive search txt ur,spam,64
350 award ending matches number numbers receive selected todays vodafone,spam,72
dont hi like say,ham,16
thank,ham,5
forwarded message oh send thought,ham,33
got hope ok pounds,ham,18
80062 apply claim cs dear holder http offer pc stop texts ts txt uk voucher weeks www,spam,85
funny,ham,5
day having hope kind loads reasons smile,ham,40
dad dat home login time,ham,23
baby shower,ham,11
answer askd hours question,ham,26
definitely imma know let ll need,ham,32
day gorgeous isn kind kiss man needs person said smile sound,ham,60
bit gonna probably swing,ham,24
nice ready thursday ya,ham,22
good mean rest taken week,ham,25
amp cartoon church eve listening music temple watching,ham,54
ask dont happened mind say,ham,26
04 10 2003 800 account code expires identifier points private redeemed shows statement,spam,86
email prob send,ham,15
000 150ppm cash claim prize won,spam,31
cool gentle hard slow thats,ham,27
gonna normal say seeing sorry starting time tuesday,ham,51
bet does drugs hella know town wait,ham,35
fine miss,ham,9
did got persons story,ham,21
drug getting tell,ham,17
care come earth evng gud luv meet msg rain rays send sun,ham,56
man place,ham,9
com doesnt free know make need sense unless,ham,43
phone services,spam,14
envelope paper rock sea words,ham,29
mum,ham,3
come daddy fetch going home later sorry,ham,39
leave prepare start,ham,19
baby study yes,ham,14
chikku coffee msg tea,ham,21
buy carlos ll minute need,ham,25
decimal gt lt pay,ham,17
evening good ttyl,ham,17
did msg receive,ham,15
belly big ho laugh tomo ya,ham,26
ac cool hello sms,spam,17
16 1st 20 50 free gr8 just msg opt phone reply ringtone send stop tone tones ur week wk,spam,87
anymore like ll night said saying want won worry,ham,48
got gt lt pick ve way,ham,21
dont drink just knw milk pa,ham,27
card escape got great hi maybe say,ham,34
awake bet going lunch sleeping,ham,30
cause lol,ham,9
cause come home lonely miss missed today wait,ham,45
explain place talk,ham,18
log wat,ham,7
going lunch xy,ham,14
18 20 bedroom hi live love old sex text work years,spam,50
ask cos finish hour lect wait wanted,ham,36
finished work,ham,13
baby great gud king ni8 reach today wil,ham,39
ans case coming day dear holiday pls reach shall start tell,ham,59
bold doing love thanks torch,ham,28
forwarded immediately message urgent waiting,spam,44
open,ham,4
big buy dad sat small sorry sun thanx trouble,ham,45
abiola great having hey hope just law month saying sister,ham,57
box mail number po purchase stuff today,ham,39
ah cuz fixed ill laptop like looks prob problem send,ham,52
good job like,ham,13
aight alex close place,ham,22
gap meet mind outside st working,ham,32
ask buy food home mum,ham,21
dont msg reply,ham,14
pay willing,ham,11
later ll sorry,ham,14
giving important,ham,16
bit good happening idea pub supposed sure thats weird,ham,53
dear evening felt pray sat sms time true,ham,40
away don family long sorry think town,ham,37
gym wanna,ham,9
12 ard drivin lar late quite wun,ham,32
club com fantastic game nokia reply review unsubscribe word www,spam,63
11mths camera cs free half latest line orange phone phones price rental update,spam,78
aftr amp askd bt confidence dat dey didnt height plane said sat sit students told wer,ham,85
come coming day just like making night smoke timing want weird,ham,62
10am 10p 7pm cost,spam,17
account details just money person save send sent,ham,48
da know knows lunch menu,ham,24
ll sell stuff tell,ham,18
150ppm 2nd 50 attempt b4 contact max urgent won,spam,47
book going lesson membership msg work,ham,37
1000 10am 2000 7pm cash claim customer guaranteed prize representative service won yr,spam,85
anytime assume begin believe dont evening feel let life plans upset wonderful,ham,77
address oh send,ham,15
anytime best fine,ham,17
,ham,0
ya,ham,2
feeling let lets life mad maybe run running world,ham,49
daddy eat got long looks night wants,ham,36
ah ask cos fri lar lor ok pm said today,ham,39
alright change gotta omw order,ham,30
anyways exactly far just study,ham,30
ask dunno,ham,9
cost email listen,spam,17
coming didn early yay,ham,21
bad dinner feel lol money use won,ham,33
dont just msgs read reply tel trouble twice,ham,43
add dear fast leaving opportunity pls qatar rakhesh search tonite ur went,ham,73
talking,ham,7
appreciate looking really thanks,ham,32
10 150p 4t 81151 customer hi loyalty mobile new offer start tc txt txtauction word,spam,82
wish,ham,4
da faster feeling gals gd group haha know liao liked lor mayb rite,ham,66
glad yes,ham,8
ahead good little thing time times,ham,34
bed got hour just room soon til,ham,31
free gym ok,ham,11
eyes ladies like men,ham,20
dunno jus say time,ham,18
care chance good pics princess promise run send ttyl,ham,52
10 best content days mobile send service stop uk,spam,48
anyways best exam great reason spoken ve week year,ham,50
monday week,ham,11
ladies ll old running years,spam,27
announcement customer important service,spam,39
dont,ham,4
did library,ham,11
don number realy sorry,ham,22
didnt holla,ham,11
head room think,ham,15
beautiful christmas hope love makes merry possible things work,ham,62
appointment,ham,11
carlos hear phone texts,ham,23
apply book cs flights nights paris romantic year,spam,48
dear felt ill just leave morning night oh sat shit think,ham,56
02 500 award guaranteed ur urgent,spam,33
ask cos going jus lor mah today tot went yest,ham,45
advance family happy mas merry new wishing year,ham,47
200 88039 age16 awarded break city shopping skilgme spree store summer txt ur win wk,spam,84
dinner goin got haha lor meetin nt somethin time tis unless wonder,ham,66
later ll sorry,ham,14
message phone pick pls right send,ham,33
apparently closed drive know lol snow supposed tomorrow,ham,55
damn getting job,ham,16
doing hair just lol moment plan tonight wats yeah,ham,49
row shit twice way,ham,18
got gt lt minutes space wil,ham,27
just sleeping surfing,ham,21
picking thanks,ham,14
come don friend hours live smoke smokes spend sure tell want,ham,60
card gave got guy hi ill kate lovely phone sing tomorrow tonight xxx,ham,68
abiola brother dear decided got happiness happy just miss new number really send text wishing year,ham,98
door means,ham,10
