keyword,avg_monthly_searches,competition,competition_index,low_top_of_page_bid_micros,high_top_of_page_bid_micros,classification,source_file
whatsapp broadcast,5400,LOW,17,15547525,71167590,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram scams,4400,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
blast message,4400,LOW,4,8913106,42642270,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
text free,4400,LOW,9,1888049,21315140,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp bulk message sender free,4400,LOW,32,15228916,48394497,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
live chat apps,4400,MEDIUM,34,2049855,33040874,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
messages app download,4400,MEDIUM,36,1628631,7662745,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
mightytext,3600,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
smishing,3600,LOW,0,555653,1580392,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
sms blast app,3600,LOW,1,12844781,90044502,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
wechat app,3600,LOW,2,621734,46947307,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
sms app,3600,LOW,23,1302848,6574378,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
sms message app,3600,LOW,23,1302848,6574378,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
best chat app,3600,MEDIUM,35,11328299,46257224,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp automation,3600,MEDIUM,53,23566073,132110540,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
signal messaging app,2900,LOW,0,2129531,18743899,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
whatsapp scams,2900,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spam text messages,2900,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
scams on facebook messenger,2900,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
facebook messenger download,2900,LOW,3,1131225,6470536,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
facebook chat,2400,LOW,0,14494559,25301663,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
spam sms,2400,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
text phishing scams,2400,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
phishing scam text,2400,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
spam message sender,2400,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spam sms messages,2400,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
message spam,2400,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
signal private messenger,2400,LOW,1,995663,14245337,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
send free sms online to mobile,2400,LOW,2,2328154,41829653,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
google messenger,2400,LOW,4,1228176,7032514,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
otp verification,2400,LOW,5,11699962,63281016,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
telegram app for pc,2400,LOW,6,1185884,2598051,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
texting app,1900,LOW,1,944024,25101247,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
telegram app download for android,1900,LOW,2,354764,1193908,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
sms backup and restore,1900,LOW,29,677809,2623162,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
twilio whatsapp,1900,MEDIUM,37,19133309,121442208,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
scam message,1600,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
spam text messages iphone,1600,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spam texts iphone,1600,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
kik app,1600,LOW,1,11157148,45313199,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
junk email,1600,LOW,1,14654760,86870124,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
send free sms,1600,LOW,2,2574733,60643316,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
teamchat,1600,LOW,4,22149847,206953975,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
freeotp,1600,LOW,4,2832074,13223618,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
otp app,1600,LOW,6,2290582,56120303,high_intent_or_utility,keyword_ideas_broad_volume_a_2026-06-27.json
bulk whatsapp,1600,MEDIUM,57,19994355,75521905,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
text free number,1300,LOW,0,944024,4169569,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
phishing text messages,1300,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
phishing texts,1300,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
open messages by google,1300,LOW,1,2232335,9076705,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
facebook messenger app,1300,LOW,2,1003592,3776760,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
text message app,1300,LOW,19,1183146,5655087,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
bulk whatsapp sender free,1300,LOW,32,19975946,53950556,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
best video chat app,1300,MEDIUM,60,17936474,103842749,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
fraud message,1000,LOW,0,54866072,192684376,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
fake text message,1000,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
scams on whatsapp,1000,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
free sms number,1000,LOW,1,603326,35772600,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
spam sms sender,1000,LOW,1,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
free texting online,1000,LOW,2,1202782,13303955,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
open my text messages,1000,LOW,2,1177010,8249362,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
send anonymous text message free,1000,LOW,3,3737017,17293593,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
send anonymous text free,1000,LOW,3,3737017,17293593,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
firebase messaging,1000,LOW,14,118468718,730675349,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
sms blocker,880,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_a_2026-06-27.json
block text messages,880,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
spam text messages examples,880,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
mysms,880,LOW,4,793075,4100844,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best messaging app for android,880,LOW,6,903620,10159408,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
autoresponder whatsapp,880,LOW,6,7679454,80018013,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
sms scam,720,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
otp scam,720,LOW,0,0,0,high_intent_or_utility,keyword_ideas_broad_volume_b_2026-06-27.json
fake number sms,720,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
online chatting platform,720,LOW,2,12624351,53946119,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
firebase push notification,720,LOW,8,140916783,600211850,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
default sms app,720,MEDIUM,40,2078648,8917165,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
bulk message sender whatsapp,720,MEDIUM,49,20355727,63094949,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
best free chat apps,720,MEDIUM,56,4587206,20768549,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
phishing sms,590,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
my otp,590,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
unknown text message,590,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
fraud text message,590,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
hangouts chat,590,LOW,1,32186815,67409521,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
free sms receive,590,LOW,1,944024,18880499,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
otp mobile,590,LOW,1,14419981,58815306,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
sms organizer,590,LOW,2,1101677,7613561,high_intent_or_utility,keyword_ideas_broad_volume_a_2026-06-27.json
telegram windows,590,LOW,2,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free sms app,590,LOW,7,1145102,6170808,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
android messages app,590,LOW,9,1360434,5100283,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
messaging apps for android,590,LOW,9,1360434,5100283,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
otp sms,590,LOW,10,14230421,77708173,high_intent_or_utility,keyword_ideas_broad_volume_a_2026-06-27.json
sms backup,590,LOW,12,676771,2832074,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
best live video chat app,590,LOW,12,15104399,95008092,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
whatsender,590,MEDIUM,34,25388136,121408223,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
bank sms alert,480,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
fake texts,480,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
telegram messenger app,480,LOW,1,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free chatting apps without payment,480,LOW,2,937605,5339122,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
sms otp verification,480,LOW,13,11605748,117679041,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best online chat app,480,MEDIUM,43,10492743,55697474,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
slack messaging,390,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
spam text,390,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
phishing messages,390,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
messenger scams,390,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
reporting spam texts,390,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
gmail chat app,390,LOW,1,28990724,88100472,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
microsoft sms organiser,390,LOW,1,871240,6512639,competitor/default-tool; conquest only if approved,keyword_ideas.json
microsoft sms organizer,390,LOW,1,871240,6512639,competitor/default-tool; conquest only if approved,keyword_ideas.json
sms organizer by microsoft,390,LOW,1,871240,6512639,competitor/default-tool; conquest only if approved,keyword_ideas.json
sms organizer microsoft,390,LOW,1,871240,6512639,competitor/default-tool; conquest only if approved,keyword_ideas.json
android messages,390,LOW,2,1014449,7318459,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
online otp,390,LOW,2,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
free text app,390,LOW,6,1547634,12675423,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
free text messaging app,390,LOW,6,1547634,12675423,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
marketing text message service,390,LOW,15,29541563,101037674,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
twilio whatsapp pricing,390,LOW,23,12717338,101289351,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
automate whatsapp messages,390,MEDIUM,47,19589745,176736773,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
sms filter,320,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_a_2026-06-27.json
text blast app,320,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
bank otp,320,LOW,0,0,0,high_intent_or_utility,keyword_ideas_broad_volume_b_2026-06-27.json
sms fraud,320,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
spam whatsapp,320,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
google hangouts chat,320,LOW,1,43284773,79403453,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
free sms api,320,LOW,20,13386463,49345130,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
text me app,320,LOW,29,1796290,11395797,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
sms providers,320,MEDIUM,42,21775919,102333348,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
telegram android,260,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
telegram mac,260,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
text subscriber,260,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
free fake text message,260,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
free sms service,260,LOW,2,1058724,214000460,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
send free text message,260,LOW,3,855286,6567865,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
sms tracker,260,LOW,3,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
group chat apps,260,LOW,15,9440249,55697474,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
messenger app download free for android,260,LOW,18,944024,4296918,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
free messaging apps,260,LOW,21,1123767,8743653,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
bulk sms app,260,MEDIUM,45,8619609,55010130,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
otp fraud,210,LOW,0,0,0,high_intent_or_utility,keyword_ideas_broad_volume_b_2026-06-27.json
robotext,210,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
text me now,210,LOW,1,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
encrypted messaging app,210,LOW,1,3054770,37361394,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
spam message blocker,210,LOW,1,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
signal private messenger app,210,LOW,4,814787,5597029,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
anonymous texting app,210,LOW,5,5418325,25367462,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
google messenger app,210,LOW,19,1036633,6205170,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
group text,170,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
group text message,170,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
ifake text message,170,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
free sms verification,170,LOW,2,1888049,41423061,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
business text messaging,170,LOW,5,21346954,107669921,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
messages by google app,170,LOW,12,1292936,3875600,competitor/default-tool; conquest only if approved,keyword_ideas_broad_volume_a_2026-06-27.json
twilio otp pricing,170,LOW,29,12272513,150614940,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
google chat app android,140,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
stop spam texts,140,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
stop spam text messages,140,LOW,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
text message inbox,140,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
instagram phishing message,140,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
block text messages iphone,140,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
otp online,140,LOW,1,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
spam sms blocker,140,LOW,2,0,0,scale_candidate_problem,keyword_ideas_broad_volume_a_2026-06-27.json
sms spam blocker,140,LOW,2,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
in app messaging,140,LOW,4,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
best sms app,140,LOW,5,1614471,17215145,scale_candidate_category,keyword_ideas_broad_volume_a_2026-06-27.json
free text and call app,140,LOW,8,2444647,16258281,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
sms inbox,140,LOW,8,1323051,4933097,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
mass text app,110,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
mass text messaging app,110,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
spam messages on iphone,110,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
otp internet banking,110,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
best texting app,110,LOW,3,14324635,61703645,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
online texting app,110,LOW,7,4381125,20423980,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
message and call tracker,110,LOW,11,1748334,20768549,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
telegram scammer report,90,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
text free online send and receive text messages,90,LOW,1,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
smishing phishing,90,LOW,1,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
get free sms number,90,LOW,4,3479959,20896842,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
best text messaging app,90,LOW,6,704997,13325384,broad_discovery_needs_negatives,keyword_ideas_broad_volume_a_2026-06-27.json
team chat app,90,LOW,11,38315237,259036306,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
text and call app,90,LOW,13,4018431,21460803,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
voice to text iphone,90,LOW,14,6577399,24777352,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
send a text message online from a fake number,70,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
unwanted text messages,70,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
i got scammed on telegram,70,LOW,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
block text messages android,70,LOW,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
block texts android,70,LOW,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
text reminders,70,LOW,1,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
sms manager,70,LOW,2,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
free sms text,70,LOW,2,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
fake text number,70,LOW,2,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
spam stop,70,LOW,2,944024,7129654,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
spam junk email folder,70,LOW,2,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
send 1000 sms at a time free online,70,LOW,4,0,0,review_or_exclude,keyword_ideas_broad_volume_a_2026-06-27.json
